id,rdfs__label,reco1_id,reco1_type,reco2_id,reco2_type,reco3_id,reco3_type,reco4_id,reco4_type
490,taming_tiger_01,,,,,,,,
491,taming_tiger_02,,,,,,,,
492,taming_tiger_03,,,,,,,,
630,taming_tiger_04,,,,,,,,
631,taming_tiger_05,536,similar_move,551,share_tech,,,,
632,taming_tiger_06,538,similar_move,551,share_principle,,,,
634,taming_tiger_07,,,,,,,,
626,taming_tiger_08,361,similar_move,,,,,,
628,taming_tiger_09,,,,,,,,
542,taming_tiger_10,517,share_tech,,,,,,
539,taming_tiger_11,569,similar_move,564,share_tech,290,share_tech,637,share_tech
538,taming_tiger_12,569,similar_move,539,share_tech,632,share_principle,,
536,taming_tiger_13,631,similar_move,551,share_tech,568,share_tech,535,share_tech
535,taming_tiger_14,631,share_tech,536,share_tech,557,share_tech,556,share_tech
551,taming_tiger_15,655,similar_move,631,share_tech,632,share_principle,,
549,taming_tiger_16,644,similar_move,510,share_principle,582,share_principle,,
547,taming_tiger_17,526,similar_move,319,share_tech,,,,
546,taming_tiger_18,525,similar_move,,,,,,
544,taming_tiger_19,524,similar_move,290,share_tech,,,,
517,taming_tiger_20,522,similar_move,563,share_tech,636,share_tech,294,share_tech
516,taming_tiger_21,586,similar_move,511,share_tech,610,share_tech,304,share_principle
514,taming_tiger_22,585,similar_move,294,share_tech,,,,
512,taming_tiger_23,584,similar_move,306,share_tech,,,,
511,taming_tiger_24,583,similar_move,516,share_tech,,,,
510,taming_tiger_25,582,similar_move,549,share_principle,644,share_principle,,
526,taming_tiger_26,547,similar_move,319,share_tech,,,,
525,taming_tiger_27,546,similar_move,,,,,,
524,taming_tiger_28,544,similar_move,290,share_tech,,,,
522,taming_tiger_29,517,similar_move,294,share_tech,291,share_tech,,
586,taming_tiger_30,516,similar_move,610,share_tech,638,share_tech,,
585,taming_tiger_31,514,similar_move,294,share_tech,,,,
584,taming_tiger_32,512,similar_move,306,share_tech,,,,
583,taming_tiger_33,511,similar_move,516,share_tech,,,,
582,taming_tiger_34,510,similar_move,549,share_principle,,,,
581,taming_tiger_35,,,,,,,,
579,taming_tiger_36,590,similar_move,271,share_tech,,,,
593,taming_tiger_37,589,similar_move,271,share_tech,,,,
590,taming_tiger_38,579,similar_move,269,share_principle,,,,
589,taming_tiger_39,593,similar_move,271,share_tech,,,,
566,taming_tiger_40,,,,,,,,
564,taming_tiger_41,637,similar_move,539,share_tech,516,share_tech,,
563,taming_tiger_42,636,similar_move,517,share_tech,,,,
562,taming_tiger_43,635,similar_move,601,share_tech,296,share_tech,,
560,taming_tiger_44,649,similar_move,556,share_tech,535,share_tech,269,share_principle
558,taming_tiger_45,627,similar_move,295,share_principle,,,,
557,taming_tiger_46,631,share_tech,535,share_tech,,,,
556,taming_tiger_47,560,share_tech,535,share_tech,,,,
569,taming_tiger_48,538,share_tech,539,share_tech,,,,
568,taming_tiger_49,536,share_tech,631,share_tech,,,,
655,taming_tiger_50,551,share_tech,,,,,,
644,taming_tiger_51,549,share_tech,510,share_principle,,,,
641,taming_tiger_52,640,similar_move,557,share_tech,606,share_tech,265,share_principle
640,taming_tiger_53,641,similar_move,,,,,,
639,taming_tiger_54,271,share_tech,,,,,,
638,taming_tiger_55,516,share_tech,586,share_tech,295,share_tech,,
637,taming_tiger_56,564,similar_move,539,share_tech,516,share_tech,,
636,taming_tiger_57,563,similar_move,517,share_tech,,,,
635,taming_tiger_58,562,similar_move,601,share_tech,296,share_tech,,
649,taming_tiger_59,560,similar_move,535,share_tech,300,share_principle,,
627,taming_tiger_60,558,similar_move,295,share_principle,,,,
625,taming_tiger_61,267,share_tech,362,share_tech,306,share_principle,,
613,taming_tiger_62,306,share_tech,304,share_principle,,,,
610,taming_tiger_63,641,share_tech,604,share_tech,269,share_principle,,
608,taming_tiger_64,289,share_tech,363,share_principle,,,,
606,taming_tiger_65,604,similar_move,641,share_tech,610,share_tech,,
604,taming_tiger_66,606,similar_move,641,share_tech,,,,
603,taming_tiger_67,602,similar_move,601,share_tech,,,,
602,taming_tiger_68,603,similar_move,322,share_tech,,,,
601,taming_tiger_69,321,similar_move,295,share_tech,,,,
322,taming_tiger_70,321,similar_move,601,similar_move,,,,
321,taming_tiger_71,601,similar_move,322,similar_move,,,,
319,taming_tiger_72,547,share_tech,526,share_tech,,,,
306,taming_tiger_73,512,share_tech,584,share_tech,625,share_principle,,
304,taming_tiger_74,296,share_tech,641,share_principle,516,share_principle,,
302,taming_tiger_75,271,share_tech,288,share_principle,,,,
300,taming_tiger_76,296,share_tech ,269,share_tech,649,share_principle,,
296,taming_tiger_77,304,share_tech,,,,,,
295,taming_tiger_78,288,share_tech,601,share_tech,558,share_principle,,
294,taming_tiger_79,514,share_tech,517,share_tech,585,share_tech,,
291,taming_tiger_80,294,similar_move,514,share_tech,563,share_tech,,
290,taming_tiger_81,539,share_tech,544,share_tech,524,share_tech,,
289,taming_tiger_82,265,share_tech,641,share_tech,544,share_principle,,
288,taming_tiger_83,295,share_tech,302,share_principle,,,,
271,taming_tiger_84,579,share_tech,639,share_tech,363,share_tech,,
269,taming_tiger_85,363,share_tech,300,share_tech,560,share_principle,,
267,taming_tiger_86,625,share_tech,362,share_tech,,,,
265,taming_tiger_87,263,similar_move,289,share_tech,641,share_principle,,
263,taming_tiger_88,265,similar_move,289,share_tech,,,,
262,taming_tiger_89,606,share_tech,641,share_tech,,,,
363,taming_tiger_90,269,share_tech,641,share_tech,608,share_principle,,
362,taming_tiger_91,267,share_tech,625,share_tech,265,share_principle,,
361,taming_tiger_92,626,similar_move,,,,,,
360,taming_tiger_93,,,,,,,,
